"id","file_path","url","slug","title","meta_description","content_type","macrocluster","subcluster","category","tags","publication_date","last_updated","word_count","hub_url","pillar_url","internal_links_out","internal_links_in","orphan_status","canonical","status","intent","primary_keyword","secondary_keywords","search_console_status","optimization_status","freshness_status","duplicate_risk","cannibalization_risk","action_required","priority","notes"
"ART-0001","articles/10-palavras-ingles-viajar-orlando-2026.html","https://familiausa1.com/articles/10-palavras-ingles-viajar-orlando-2026.html","10-palavras-ingles-viajar-orlando-2026","10 palavras em inglês para viajar para Orlando em 2026","Veja 10 palavras e frases em inglês que brasileiros precisam saber antes de viajar para Orlando: aeroporto, hotel, compras, Disney, restaurante e emergência.","article","orlando e viagem","Orlando e viagem","Orlando e viagem","","2026-05-23","2026-05-23","1001","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","5","0","orfao","https://familiausa1.com/articles/10-palavras-ingles-viajar-orlando-2026.html","publicado","informacional","10 palavras em inglês que você precisa saber antes de viajar para Orland","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: compras; orlando e viagem"
"ART-0002","articles/5-erros-que-brasileiros-cometem-ao-chegar-nos-eua.html","https://familiausa1.com/articles/5-erros-que-brasileiros-cometem-ao-chegar-nos-eua.html","5-erros-que-brasileiros-cometem-ao-chegar-nos-eua","5 erros que brasileiros cometem ao chegar nos EUA | FamiliaUSA1","Veja 5 erros que brasileiros cometem ao chegar nos EUA e como evitar problemas com dinheiro, documentos, crédito, cidade, adaptação e planejamento.","article","custo de vida","Erros para evitar","Erros para evitar","","2026-04-23","2026-05-22","878","/categorias/custo-de-vida.html","/articles/custo-de-vida-nos-eua-2026-atualizado.html","8","7","recebe links","https://familiausa1.com/articles/5-erros-que-brasileiros-cometem-ao-chegar-nos-eua.html","precisa atualizar","investigativa/comparativa","5 erros que brasileiros cometem ao chegar nos EUA","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: moradia; familia e escola"
"ART-0003","articles/5-habitos-comuns-no-brasil-problemas-eua.html","https://familiausa1.com/articles/5-habitos-comuns-no-brasil-problemas-eua.html","5-habitos-comuns-no-brasil-problemas-eua","5 hábitos comuns no Brasil que dão problema nos EUA","Veja 5 hábitos comuns no Brasil que podem causar problemas graves nos EUA, com escola, trânsito, polícia, redes sociais e imigração.","article","imigracao","Adaptação cultural","Adaptação cultural","","2026-05-16","2026-05-22","1337","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","11","2","recebe links","https://familiausa1.com/articles/5-habitos-comuns-no-brasil-problemas-eua.html","publicado","informacional","5 hábitos comuns no Brasil que podem trazer problemas graves nos Estados","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: coisas-comuns-no-brasil-que-dao-problema-nos-eua","avaliar diferenciacao editorial","baixa","clusters complementares: familia e escola; vida pratica"
"ART-0004","articles/7-erros-trabalho-brasileiros-eua.html","https://familiausa1.com/articles/7-erros-trabalho-brasileiros-eua.html","7-erros-trabalho-brasileiros-eua","Trabalhar nos EUA: 7 erros para brasileiros","Veja os principais erros que brasileiros cometem ao trabalhar nos EUA, como se proteger, combinar pagamentos, registrar horas e evitar prejuízos.","article","trabalho","Trabalho nos EUA","Trabalho nos EUA","","2026-05-18","2026-05-22","1181","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","10","5","recebe links","https://familiausa1.com/articles/7-erros-trabalho-brasileiros-eua.html","publicado","informacional/pratica","Trabalhar nos EUA sendo brasileiro: 7 erros que podem fazer você perder","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: saude"
"ART-0005","articles/7-sinais-de-golpe-na-imigracao-dos-eua.html","https://familiausa1.com/articles/7-sinais-de-golpe-na-imigracao-dos-eua.html","7-sinais-de-golpe-na-imigracao-dos-eua","7 sinais de golpe na imigração dos EUA | FamiliaUSA1","Veja 7 sinais de golpe na imigração dos EUA e como brasileiros nos EUA podem evitar fraude migratória, work permit falso e falsa consultoria.","article","imigracao","Fraude imigração","Fraude imigração","","2026-04-24","2026-05-22","830","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","7","17","recebe links","https://familiausa1.com/articles/7-sinais-de-golpe-na-imigracao-dos-eua.html","precisa atualizar","informacional/pratica","7 sinais de golpe na imigração dos EUA (e como evitar)","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: familia e escola; saude"
"ART-0006","articles/a-verdade-sobre-morar-nos-eua.html","https://familiausa1.com/articles/a-verdade-sobre-morar-nos-eua.html","a-verdade-sobre-morar-nos-eua","A verdade sobre morar nos EUA: custo, rotina e adaptação | FamiliaUSA1","Entenda a verdade sobre morar nos EUA, com pontos reais sobre custo de vida, adaptação, saudade, trabalho, rotina e recomeço para brasileiros.","article","trabalho","Vida real nos EUA","Vida real nos EUA","","2026-04-23","2026-05-22","831","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","7","10","recebe links","https://familiausa1.com/articles/a-verdade-sobre-morar-nos-eua.html","precisa atualizar","decisao/comparativa","A verdade sobre morar nos EUA","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: custo de vida; familia e escola"
"ART-0007","articles/adjustment-of-status-eua-brasileiros-2026.html","https://familiausa1.com/articles/adjustment-of-status-eua-brasileiros-2026.html","adjustment-of-status-eua-brasileiros-2026","Adjustment of status nos EUA: o que é e quem pode tentar","Entenda o que é adjustment of status nos EUA, quando ele entra na estratégia de green card e quais cuidados brasileiros devem ter em 2026.","article","imigracao","Imigração nos EUA","Imigração nos EUA","","2026-05-23","2026-05-25","1194","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","5","5","recebe links","https://familiausa1.com/articles/adjustment-of-status-eua-brasileiros-2026.html","publicado","informacional","Adjustment of status nos EUA: o que é e quem pode tentar","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: green card; saude"
"ART-0008","articles/adjustment-of-status-ou-processo-consular-green-card-2026.html","https://familiausa1.com/articles/adjustment-of-status-ou-processo-consular-green-card-2026.html","adjustment-of-status-ou-processo-consular-green-card-2026","Adjustment of status ou processo consular: qual pesa mais?","Entenda a diferença entre adjustment of status e processo consular, os riscos de sair dos EUA e o que pesa mais para brasileiros em 2026.","article","imigracao","Imigração nos EUA","Imigração nos EUA","","2026-05-23","2026-05-25","1199","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","4","2","recebe links","https://familiausa1.com/articles/adjustment-of-status-ou-processo-consular-green-card-2026.html","publicado","decisao/comparativa","Adjustment of status ou processo consular: qual pesa mais?","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: green card; saude"
"ART-0009","articles/agendamento-visto-americano-2026.html","https://familiausa1.com/articles/agendamento-visto-americano-2026.html","agendamento-visto-americano-2026","Agendamento do visto americano em 2026: como marcar e remarcar","Veja como funciona o agendamento do visto americano em 2026, CASV, consulado, remarcação, erros comuns e golpes para evitar.","article","vistos","Visto americano","Visto americano","","2026-05-19","2026-05-22","852","/categorias/visto-americano.html","/articles/guia-completo-visto-americano-2026.html","11","1","recebe links","https://familiausa1.com/articles/agendamento-visto-americano-2026.html","precisa atualizar","informacional/pratica","Agendamento do visto americano 2026: como marcar, alterar e escolher o m","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: saude"
"ART-0010","articles/aluguel-carro-orlando-2026.html","https://familiausa1.com/articles/aluguel-carro-orlando-2026.html","aluguel-carro-orlando-2026","Aluguel de carro em Orlando em 2026","Veja se aluguel de carro em Orlando vale a pena em 2026, custos, seguro, pedágios, estacionamento, cadeirinha, CNH e Uber.","article","orlando e viagem","Orlando e viagem","Orlando e viagem","","2026-05-19","2026-05-22","873","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","8","10","recebe links","https://familiausa1.com/articles/aluguel-carro-orlando-2026.html","precisa atualizar","investigativa/comparativa","Aluguel de carro em Orlando 2026: vale a pena? Custos, pedágios e cuidad","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: custo de vida; moradia"
